Manila,"321,197"
Mandaluyong,"302,908"
Marikina,"311,527"
Pasig,"309,784"
Quezon City,"314,024"
San Juan,"308,891"
Caloocan,"233,959"
Malabon,"205,918"
Navotas,"227,851"
Valenzuela,"268,991"
Las Pinas,"326,320"
Makati,"450,266"
Muntinlupa,"266,476"
Paranaque,"438,507"
Pasay,"311,433"
Pateros,"327,722"
Taguig,"270,978"
Abra,"111,176"
Benguet,"235,220"
Ifugao,"123,221"
Kalinga,"150,620"
Mountain Province,"109,649"
Apayao,"114,332"
Ilocos Norte,"166,223"
Ilocos Sur,"157,159"
La Union,"152,788"
Pangasinan,"147,273"
Batanes,"272,334"
Cagayan,"132,046"
Isabela,"134,294"
Nueva Vizcaya,"180,216"
Quirino,"163,095"
Bataan,"244,402"
Bulacan,"212,492"
Nueva Ecija,"136,407"
Pampanga,"207,560"
Tarlac,"169,765"
Zambales,"172,029"
Aurora,"149,806"
Batangas,"182,600"
Cavite,"255,018"
Laguna,"227,155"
Quezon,"119,259"
Rizal,"254,442"
Marinduque,"140,362"
Occidental Mindoro,"135,221"
Oriental Mindoro,"125,171"
Palawan,"112,822"
Romblon,"96,117"
Albay,"147,647"
Camarines Norte,"134,279"
Camarines Sur,"137,682"
Catanduanes,"172,918"
Masbate,"119,167"
Sorsogon,"129,405"
Aklan,"107,146"
Antique,"109,478"
Capiz,"153,604"
Iloilo,"161,656"
Negros Occidental,"138,149"
Guimaras,"137,926"
Bohol,"129,881"
Cebu,"170,998"
Negros Oriental,"113,496"
Siquijor,"108,938"
Eastern Samar,"112,749"
Leyte,"138,415"
Northern Samar,"114,219"
Samar,"110,808"
Southern Leyte,"117,003"
Biliran,"184,597"
Zamboanga del Norte,"90,458"
Zamboanga del Sur,"132,440"
Zamboanga Sibugay,"106,693"
Isabela City,"133,438"
Bukidnon,"122,772"
Camiguin,"134,063"
Lanao del Norte,"137,187"
Misamis Occidental,"100,931"
Misamis Oriental,"173,142"
Davao del Norte,"140,995"
Davao del Sur,"159,150"
Davao Oriental,"84,921"
Compostela Valley,"120,487"
North Cotabato,"114,254"
South Cotabato,"164,182"
Sultan Kudarat,"97,586"
Sarangani,"95,118"
Cotabato City,"174,005"
Agusan del Norte,"149,008"
Agusan del Sur,"113,388"
Surigao del Norte,"122,498"
Surigao del Sur,"111,401"
Basilan,"93,554"
Lanao del Sur,"110,956"
Maguindanao,"85,302"
Sulu,"99,183"
Tawi‐Tawi,"100,621"
